Lake,County,Nearby town,Size (acres),Littoral zone (acres),Max depth (ft),Water clarity (ft),MNDNR Code,Notes
Lake 538,Stearns,Maine Prairie,11.0,11.0,6.0,4.0,,
Lake 540,Stearns,Richmond,,,,,,
Lake 556,Stearns,Waite Park,8.0,8.0,,,,
Lake 557,Stearns,Pleasant Lake,4.0,4.0,5.0,3.0,,
Lake 586,Douglas,Holmes City,26.0,26.0,,2.0,,
Lake 590,Stearns,Eden Valley,35.0,35.0,,4.5,,
Lake 598,Cass,Pine River,39.0,39.0,,7.2,,
Lake 599,Cass,Pine River,20.0,20.0,,8.9,,
Lake 621,Cass,Sylvan,23.0,23.0,,3.0,,
Lake 635,Cass,Pine River,28.0,28.0,,5.6,,
Lake 688,Cass,Pine River,53.0,53.0,,7.5,,
Lake 695,Cass,Pine River,24.0,24.0,,7.9,,
Lake 781,Cass,Sylvan,13.0,13.0,,4.3,,
Lake 801,Kandiyohi,Atwater,7.0,7.0,,2.0,,
Lake 928,Cass,Zemple,100.0,100.0,5.0,1.6,,
Lake 3901,Wright,Montrose,,,,,,
Lake 4201,Sherburne,Lake Fremont,18.0,18.0,,5.9,,
Lake 5401,Sherburne,Lake Fremont,13.0,13.0,,5.81,,
Lake 5901,Morrison,Pillager,7.0,7.0,,6.3,,
Lake 6201,Kandiyohi,Spicer,131.0,131.0,,1.6,,
Lake 6201,Wright,Buffalo,8.0,8.0,,3.8,,
Lake 7701,Sherburne,Princeton,3.0,3.0,,,,
Lake 12801,Meeker,Greenleaf,5.0,5.0,,18.0,,
Lake 21401,Sherburne,St Cloud,85.0,85.0,,8.16,,
Lake 22002,Wright,Rassat,,,,,,
Lake 33701,Sherburne,Princeton,36.0,36.0,,3.28,,
Lake 34001,Wright,Rockford,20.0,20.0,,2.46,,
Lake 34102,Kandiyohi,Sunburg,5.0,5.0,,7.5,,
Lake 38701,Wright,Waverly,,,,,,
Lake 39801,Kandiyohi,Willmar,11.0,11.0,,2.0,,
Lake 46401,Kandiyohi,New London,4.0,4.0,,2.6,,
Lake 47701,Kandiyohi,Sunburg,5.0,5.0,,4.9,,
Lake 47702,Kandiyohi,Sunburg,3.0,3.0,,6.9,,
Lake 50401,Wright,Enfield,,,,,,
Lake Full of Fish,Kanabec,Warman,65.0,0.0,28.0,,,
Lake of the Isles,Hennepin,Minneapolis,109.0,89.0,31.0,3.9,,
Lake of the Woods,Lake of the Woods,Warroad,,79253.0,210.0,3.9,39000200.0,"Also in Manitoba and Ontario, Canada"
Lake of the Woods,Sherburne,Zimmerman,,,,,,
Langdon,Hennepin,Mound,144.0,82.7,38.0,1.5,,
Lake Crystal,Blue Earth County,Lake Crystal,379.38,379.38,8.0,1.2,,
Lanesboro Mill Pond,Fillmore,Lanesboro,5.8,5.8,10.0,5.0,,
Lange Marsh,Murray,Ruthton,36.0,36.0,5.0,2.3,,
Large Henry,Swift,Appleton,220.0,,9.0,,,
Lark,Polk,Olga,31.0,31.0,18.0,6.6,,
Larsen Slough,Sherburne,Zimmerman,11.0,11.0,,7.25,,
Larson,Morrison,Flensburg,17.0,17.0,,3.61,,
Larue Pit,Itasca,Nashwauk,47.03,47.03,200.0,10.0,,
Latoka,Douglas,Alexandria,776.0,155.0,108.0,14.5,,
Laura,Stearns,Fairhaven,140.0,117.0,7.0,4.24,,
Lauzers,Wright,Oster,73.0,73.0,,1.97,,
Lawn,Stearns,Paynesville,32.0,32.0,14.0,3.0,,
Lawrence,Itasca,Taconite,395.0,316.0,32.0,4.5,,
Lax,Lake,Finland,295.1,192.0,35.0,9.1,,
Le Homme Dieu,Douglas,Alexandria,1744.0,767.0,85.0,8.0,,
LeMay,Rice,Wheatland,89.0,89.0,16.0,2.6,,
Leander,St. Louis,Buhl,247.0,59.0,45.0,16.0,,
Lebenstraum Pond,Morrison,Lastrup,,,,,,
Lee,Clay,Hawley,134.0,86.0,36.0,6.0,,
Leech,Cass,Walker,111527.0,57994.0,150.0,,11020300.0,
Leech Pond,Benton,Foley,,,,,,
Leek,Otter Tail,Vergas,609.0,272.0,76.0,11.3,,
Leeman,St Louis,Gowan,106.0,106.0,13.0,10.2,,
Leif,Becker,Audubon,488.0,316.0,26.0,6.0,,
Leighton,Itasca,Cohasset,229.0,78.0,63.0,14.0,,
Lemay,Dakota,Eagan,35.74,36.38,15.5,3.8,,
Lemay,Dakota,Mendota,25.0,25.0,11.0,4.6,,
Lena,Morrison,Lincoln,96.0,96.0,15.0,5.056,,"This lake is 96 acres with a maximum depth of 15 feet. There anglers can expect to catch Largemouth Bass, Rock Bass, Pumpkinseed Sunfish, Hybrid Sunfish, Bluegill, and Northern Pike."
Lendt,Chisago,Scandia,46.0,46.0,12.0,5.2,,
Leora (called Elora),St. Louis,Cotton,296.0,110.0,35.0,9.7,,
LeRoy Sand Pit,Mower,Le Roy,3.63,3.63,14.0,10.0,,
Leslie,Morrison,Randall,,,,,,
Leven,Pope,Villard,283.0,161.0,33.0,3.5,,
Lewis,Kanabec,Ogilvie,220.0,148.0,48.0,5.5,,
Lida (North),Otter Tail,Pelican Rapids,5564.0,2380.0,58.0,7.0,56074701.0,
Lida (South),Otter Tail,Pelican Rapids,856.0,356.0,48.0,8.0,56074702.0,
Light Blue Quarry,St Louis,Ridge,420.0,420.0,184.0,50.0,,
Light Foot,Wright,Buffalo,68.67,56.0,22.0,3.5,,
Lightning,Grant,Wendell,500.0,500.0,11.0,2.5,,
Lilly,Waseca,Lake Elysaian,44.0,44.0,3.0,1.0,,
Lima,Cook,Grand Marais,11.09,7.0,25.0,14.3,,
Lime,Murray,Avoca,338.0,338.0,7.0,0.8,,
Lime,Becker,Lake Park,98.0,98.0,8.0,1.0,,
Limestone,Wright,Clearwater,188.0,101.0,34.0,8.3,,
Lind,Cass,Backus,377.0,249.0,27.0,10.0,,
Lind Pit,Itasca,Grand Rapids,82.0,8.0,284.0,25.0,,
Lindstrom (North),Chisago,Lindstrom,137.0,55.0,29.0,3.5,,
Lindstrom (South),Chisago,Lindstrom,499.0,208.0,34.0,,,
Line,Morrison,Lincoln,,,,,,
Lingroth,Aitkin,Glen,81.0,81.0,25.0,1.0,,
Linka,Pope,Sedan,197.0,78.0,50.0,12.5,,
Linn,Chisago,Lindstrom,180.0,180.0,15.0,0.6,,
Linneman,Stearns,Avon,109.55,102.76,15.0,7.0,,
Linwood,Anoka,Wyoming,559.0,475.0,42.0,4.0,,
Linwood,St. Louis,Markham,251.0,203.0,34.0,5.2,,
Lions Park Pond,Sherburne,Elk River,,,,,,
Lisa,Wright,South Haven,157.0,157.0,6.0,5.0,,
Little,Chisago,Center City,159.0,124.0,23.0,3.4,,
Little,Stearns,Richmond,48.0,48.0,14.0,3.0,,
Little Bass,Cass,Outing,112.0,67.0,30.0,,,
Little Bass,Itasca,Cohasset,155.0,55.0,62.0,15.0,,
Little Bass,Itasca,Togo,25.79,10.0,72.0,9.5,,
Little Bear,Itasca,Togo,142.0,97.0,35.0,7.0,,
Little Bemidji,Becker,Ponsford,275.0,59.0,58.0,15.5,,
Little Birch,Cass,Remer,25.0,25.0,7.0,4.0,,
Little Birch,St Louis,Wahlsten,67.0,67.0,24.0,10.0,,
Little Birch,Todd,Grey Eagle,839.44,277.0,89.0,13.0,,
Little Bowstring,Itasca,Deer River,319.0,115.0,33.0,4.1,,
Little Cavanaugh,Itasca,Cohasset,19.0,11.0,27.0,9.0,,
Little Boy,Cass,Longville,1372.0,466.0,74.0,10.8,,
Little Coon,Itasca,Bigfork,76.3,20.0,123.0,14.0,,
Little Cut Foot Sioux,Itasca,Deer River,619.1,530.0,20.0,6.0,,
Little Diann,Sherburne,Lake Fremont,,,,,,
Little Eagle,Wright,Silver Creek,36.08,16.6,35.0,8.3,,
Little Elbow,Mahnomen,Waubun,158.0,119.0,18.0,8.5,,
Little Emily,Crow Wing,Outing,111.0,89.0,26.0,8.0,,
Little Floyd,Becker,Detroit Lakes,205.0,95.0,34.0,15.0,,
Little Fourteen,St. Louis,Buhl,79.0,73.0,17.0,11.0,,
Little Ganz,Morrison,Burtrum,15.0,15.0,,3.94,,
Little Hartnett Pond,Stearns,Sauk Centre,4.0,4.0,12.0,6.0,,
Little Hubert,Crow Wing,Nisswa,185.0,161.0,41.0,10.0,,
Little Ida,Wright,Silver Creek,27.0,27.0,,7.28,,
Little Island,Hubbard,Nevis,212.0,137.0,32.0,5.5,,
Little Jessie,Itasca,Deer River,637.0,206.0,50.0,8.6,,
Little John,Wright,South Haven,51.0,51.0,37.0,8.2,,
Little Johnson,St. Louis,Crane Lake,481.0,471.0,28.0,8.5,,
Little Logan,Aitkin,Hassman,17.0,17.0,8.0,,,
Little Long,St. Louis,Ely,293.0,78.0,45.0,17.0,,
Little Mantrap,Hubbard,Goldenrod,47.0,47.0,,11.5,,
Little Mantrap,Hubbard,Park Rapids,380.95,197.0,54.0,14.3,,
Little Markee,Crow Wing,Lake Hubert,13.0,13.0,22.0,13.664,,
Little Markham,St. Louis,Markham,42.0,34.0,25.0,4.8,,
Little Mary,Wright,Silver Creek,112.0,112.0,16.0,2.6,,
Little Maryhew,Cook,Grand Marais,34.35,11.0,31.0,13.7,,
Little McDonald,Otter Tail,Perham,1174.0,413.0,109.0,19.1,,
Little Mud,Stearns,St Anna,21.0,21.0,17.0,9.0,,
Little Moose,Itasca,Grand Rapids,271.0,123.0,23.0,,,
Little Oscar,Douglas,Alexandria,177.0,177.0,17.0,1.3,,
Little Otter,Stearns,Fairhaven,18.0,18.0,16.0,8.9,,
Little Pelican,Crow Wing,Breezy Point,283.0,206.0,34.0,18.0,,
Little Pelican,Otter Tail,Vergas,345.0,256.0,25.0,11.0,,
Little Pelican,Stearns,St Anna,19.0,19.0,23.0,11.0,,
Little Pine,Crow Wing,Cross Lake,387.0,225.0,36.0,9.0,,
Little Rock,Benton,Rice,1087.0,749.0,23.0,1.5,,
Little Rock,Wright,Rassat,37.05,21.0,51.0,4.9,,
Little Saganaga,Cook,BWCA,1575.0,428.0,150.0,11.1,,
Little Sand,Itasca,Squaw Lake,361.0,231.0,19.0,,,
Little Sand,St. Louis,Virginia,96.0,94.0,14.0,4.0,,
Little Spirit,Jackson,Jackson,572.0,572.0,8.0,5.8,,
Little Spring,Meeker,Dassel,76.0,76.0,,4.49,,
Little Spunk Pond,Stearns,Avon,6.0,6.0,8.0,2.0,,
Little Stone,St. Louis,Two Harbors,181.0,140.0,17.0,4.8,,
Little Sturgeon,St. Louis,Chisholm,266.0,54.0,22.0,4.5,,
Little Tamarack,Pine,Duxbury,59.55,38.0,31.0,5.9,,
Little Toad,Becker,Frazee,345.0,107.0,65.0,15.5,,
Little Toad,Becker,Frazee,404.62,107.0,65.0,11.0,,
Little Thunder,Cass,Remer,70.0,70.0,47.0,12.0,,
Little Trout,St. Louis,Tower,538.0,178.0,37.0,9.0,,
Little Trout,St. Louis,Crane Lake,239.0,79.0,95.0,17.0,,
Little Turtle,Itasca,Talmoon,475.0,226.0,29.0,4.0,,
Little Vermilion,St. Louis,Crane Lake,1331.0,639.0,52.0,6.5,,
Little Vermillion,Cass,Remer,133.0,74.0,55.0,,,
Little Wabana,Itasca,Grand Rapids,104.0,30.8,57.0,18.0,,
Little White Oak,Itasca,Zemple,523.0,523.0,8.0,3.0,,
Little Winnibigoshish,Itasca,Deer River,938.0,209.0,28.0,10.0,,
Little Wolf,Meeker,Lamson,60.0,60.0,,2.95,,
Little Woman,Cass,Hackensack,35.91,35.84,14.0,6.2,,
Lizzie,Otter Tail,Pelican Rapids,4035.0,3013.0,66.0,11.2,56076000.0,
Lobster,Douglas,Garfield,1308.0,667.0,65.0,8.5,,
Locke,Wright,Clearwater,139.98,67.0,49.0,4.3,,
Lomond,Clearwater,Bagley,91.0,44.0,42.0,7.4,,
Lone,Aitkin,Aitkin,448.0,148.0,60.0,25.8,,
Long,Aitkin,Glen,415.0,120.0,116.0,,,
Long,Becker,Detroit Lakes,357.0,152.0,61.0,14.0,,
Long,Beltrami,Turtle River,396.0,180.5,87.0,16.5,,
Long,Beltrami,Puposky,719.0,683.0,18.0,9.5,,
Long,Cass,Longville,926.0,356.0,115.0,12.0,,
Long,Douglas,Evansville,218.0,201.0,18.0,5.5,,
Long,Hennepin,Long Lake,261.0,131.0,33.0,,,
Long,Hubbard,Park Rapids,1974.0,468.0,135.0,13.0,,
Long,Itasca,Bigfork,331.0,177.0,34.0,8.5,,
Long,Kandiyohi,New London,286.0,127.0,46.0,10.5,,
Long,Kandiyohi,Willmar,1575.0,1489.0,16.0,10.6,,
Long,Meeker,Grove City,771.0,771.0,11.0,0.8,,
Long,Meeker,Jennie,67.0,67.0,,2.43,,
Long,Morrison,Fort Ripley,37.0,37.0,,8.9,,
Long,Morrison,Harding,125.54,63.0,35.0,10.5,,
Long,Morrison,Sullivan,120.0,63.0,35.0,10.0,,
Long,Morrison,Upsala,129.0,129.0,,7.61,,
Long,Otter Tail,Vergas,1273.0,529.0,128.0,,,
Long,Otter Tail,Dalton,350.0,236.0,88.0,9.5,,
Long,Otter Tail,Ottertail,1173.0,1170.0,17.0,,,
Long,Otter Tail,Weetown,293.0,272.0,17.0,3.5,,
Long,Otter Tail,Fergus Falls,756.0,306.0,73.0,8.0,,
Long,Ramsey,New Brighton,183.0,,30.0,,,
Long,Sherburne,Clear Lake,174.01,144.0,26.0,6.0,,
Long,St. Louis,Makinen,395.0,395.0,14.0,2.0,,
Long,St. Louis,Crane Lake,409.0,319.0,18.0,5.0,,
Long,St. Louis,Chisholm,267.0,126.0,36.0,5.7,,
Long,St. Louis,Cotton,209.0,88.0,51.0,11.5,,
Long,Stearns,Clearwater,68.57,33.0,38.0,10.0,,
Long,Stearns,Richmond,460.0,304.0,35.0,3.5,,
Long,Stevens,Cyrus,579.0,579.0,12.0,1.5,,
Long,Todd,Burtrum,372.0,79.0,63.0,12.0,,
Long,Todd,Sauk Centre,215.0,65.0,36.0,,,
Long,Washington,Maple Island,71.07,71.07,12.0,6.2,,
Long,Wright,Monticello,96.04,58.6,35.0,5.0,,
Long,Wright,Oster,80.0,80.0,,3.12,,
Long,Wright,Silver Creek,46.0,46.0,9.0,7.2,,
Long Pond,Sherburne,Lake Fremont,40.0,40.0,,4.31,,
Long Pond,Stearns,Freeport,14.0,14.0,7.0,4.0,,
Long Quarry,St Louis,Ridge,110.0,110.0,96.0,40.0,,
Longs,Morrison,Cushing,58.0,58.0,,9.8,,
Long (North),Crow Wing,Merrifield,5998.0,3905.0,97.0,15.3,18037200.0,
Long Lost,Clearwater,Zerkel,390.0,275.0,63.0,18.0,,
Longyear,St. Louis,Chisholm,158.0,155.0,18.0,4.3,,
Lookout,Morrison,Randall,17.0,17.0,,,,
Loon,Crow Wing,Crosby,60.0,32.0,20.0,7.0,,
Loon,Hubbard,Park Rapids,82.3,33.0,50.0,16.0,,
Loon,Itasca,Grand Rapids,235.0,48.0,69.0,12.0,,
Loon,Jackson,Jackson,679.0,679.0,7.0,2.7,,
Loon,Otter Tail,Vergas,1048.0,592.0,105.0,14.45,,
Loon,St. Louis,Aurora,290.0,70.0,85.0,18.0,,
Loon,St. Louis,Crane Lake,2169.6,2165.0,65.0,20.0,69047000.0,
Loon,Waseca,Waseca,122.0,122.0,9.0,,,
Loon,Washington,Grant,62.0,62.0,17.0,2.3,,
Lory,Isanti,Dalbo,212.0,197.0,21.0,3.2,,
Lost,Hennepin,Osseo,20.0,20.0,6.0,,,
Lost,St. Louis,Tower,768.0,730.0,20.0,5.0,,
Lost,Washington,Mahtomedi,22.3,7.5,26.0,7.0,,
Lotus,Carver,Chanhassen,246.0,182.0,29.0,,,
Louisa,Murray,Westbrook,298.0,298.0,8.0,0.5,,
Louisa,Stearns,Fairhaven,189.43,122.0,44.0,7.5,,
Louise,Douglas,Alexandria,219.0,99.0,33.0,12.0,,
Louise Mill Pond,Mower,Leroy,15.17,15.17,8.0,1.5,,
Louise,Mower,Le Roy,26.0,26.0,8.0,1.3,,
Lovell,Stearns,St Rosa,85.0,85.0,18.0,1.0,,
Lower Bottle (Lower),Hubbard,Dorset,652.0,311.0,110.0,12.5,,
Lower Lasalle,Hubbard,Becida,221.0,213.0,16.0,6.0,,
Lower Panasa,Itasca,Calumet,248.1,169.0,25.0,2.6,,
Lower Rattling Springs,Goodhue,Etter,132.0,132.0,8.0,6.0,,
Lower Spunk,Stearns,Avon,280.0,232.0,27.5,7.5,,
Lower Sucker,Cass,Cass Lake,585.0,301.0,35.0,7.0,,
Lower Twin,Wadena,Menahga,391.0,175.0,26.0,3.5,,
Lower Watab,Stearns,St Joseph,12.0,12.0,26.0,12.0,,
Lucy,Carver,Chanhassen,92.0,86.0,20.0,5.0,,
Ludlow Pit,Beltrami,Waskish,7.0,7.0,17.0,11.0,,
Lueken,Stearns,Richmond,12.0,12.0,13.0,6.5,,
Lund,Meeker,Grove City,123.0,123.0,,2.6,,
Lund Brothers Marsh,Becker,Lake Park,36.0,36.0,8.0,2.3,,
Lundberg Slough,Sherburne,Orrock,13.0,13.0,,2.58,,
Lura,Blue Earth,Mapleton,1224.0,1224.0,9.0,,,
Luverne Pit,Rock,Luverne,10.0,10.0,7.0,1.5,,
Lydia,Meeker,Crow River,12.0,12.0,,,,
Lyman,Rice,Northfield,7.78,7.78,7.0,,,
Lynden,Stearns,Fairhaven,16.0,16.0,23.0,14.0,,
Lynden,Stearns,Lynden,204.0,204.0,8.0,5.0,,
Lyons WMA,Lyon,Russell,,,5.0,,,
Mabel,Cass,Remer,183.99,191.72,14.0,11.7,,
Mabel,Le Sueur,Doyle,105.0,105.0,18.0,2.0,,
Mack,Otter Tail,Otter Tail,,,6.0,,,
Madaline,Morrison,Cushing,31.0,31.0,,9.1,,
Madden,Lake,Ely,33.88,28.7,24.0,10.5,,
Madison,Blue Earth,Madison Lake,1113.0,722.0,59.0,4.0,,
Magda,Hennepin,New Hope,13.0,13.0,11.0,3.0,,
Magnetic,Cook,Maple Hill,446.75,95.0,90.0,17.0,,
Magnus,Pope,Terrace,71.0,71.0,12.0,3.9,,
Mahlke Marsh,Lyon,Russell,49.0,49.0,11.0,1.6,,
Mahnomen,Crow Wing,Trommald,238.0,190.0,25.0,14.0,,
Mahnomen Mine #1,Crow Wing,Crosby,103.0,103.0,,12.1,,
Mahnomen Mine #2,Crow Wing,Crosby,17.0,17.0,,13.4,,
Mahnomen Mine #3,Crow Wing,Crosby,16.0,16.0,,14.4,,
"Mahnomen, Alstead & Arco",Crow Wing,Crosby,271.63,53.0,525.0,30.3,,
Mahoning Hull-RustComplex,St Louis,Hibbing,869.0,869.0,,11.8,,
Main,Dakota,Cedar Grove,5.0,5.0,10.0,5.6,,
Maine,Otter Tail,Maine,37.0,37.0,14.0,4.3,,
Maine,Otter Tail,Maine,88.45,35.0,34.0,12.9,,
Maingan,Lake,Winton,29.0,29.0,,5.9,,
Mains,Wright,Highland,,,,,,
Majestic,St Louis,Wolf,52.28,30.0,51.0,7.9,,
Maki,Itasca,Suomi,19.0,19.0,,6.9,,
Makwa,Lake,Prairie Portage,128.19,49.0,76.0,10.8,,
Malachy,Swift,Clontarf,43.0,43.0,6.0,1.3,,
Malardi,Wright,Montrose,107.0,107.0,11.0,10.2,,
Malberg,Lake,Isabella,398.3,309.5,37.0,7.0,,
Mallard,Aitkin,Aitkin,417.0,417.0,5.0,,,
Mallard,Becker,Elbow Lake Village,129.0,129.0,12.0,2.0,,
Mallard,Clearwater,Mallard,104.66,77.0,17.0,8.2,,
Mallard,Crow Wing,Fifty Lakes,19.0,19.0,8.0,5.9,,
Mallard,Crow Wing,Lake Hubert,61.0,61.0,6.0,4.6,,
Mallard,Itasca,Cohasset,11.0,11.0,12.0,5.6,,
Mallard,Morrison,Randall,18.0,18.0,,,,
Mallard,Pine,Markville,31.0,31.0,5.0,,,
Mallard Marsh,Ramsey,,,,,,,
Mallard Pass,Wright,Howard Lake,44.0,44.0,8.0,5.6,,
Mallard Pond (North),Ramsey,North Oaks,14.0,14.0,4.0,,,
Mallard Pond (South),Ramsey,North Oaks,6.0,6.0,4.0,,,
Mallen Pit,Crow Wing,Riverton,5.61,0.0,95.0,28.0,,
Malmedal,Pope,Lowry,198.59,198.58,10.0,1.0,,
Mandall,Chisago,Stark,47.01,25.0,26.0,2.0,,
Mandy,Aitkin,East Lake,93.0,93.0,11.0,3.9,,
Manganika,St. Louis,Virginia,158.0,141.0,24.0,2.0,,
Mann,Washington,Withrow,55.0,55.0,18.0,3.6,,
Manomin,Beltrami,Wilton,265.0,265.0,11.0,3.0,,
Manomin,Lake,Prairie Portage,409.05,403.0,18.0,2.5,,
Manor Woods,Olmsted,Rochester,45.0,45.0,26.0,12.0,,
Mantrap (Big),Hubbard,Emmaville,1556.0,752.0,68.0,13.0,,
Mantrap (Little),Hubbard,Park Rapids,348.0,197.0,54.0,11.5,,
Manuel Mine,Crow Wing,Crosby,35.58,35.58,160.0,28.0,,
Manuella,Meeker,Darwin,286.0,114.0,51.0,8.8,,
Manuella NPSA,Meeker,Darwin,9.0,9.0,8.0,3.0,,
Many Point,Becker,Ponsford,1737.0,565.0,92.0,10.5,,
Manymoon,Cook,Lutsen,24.23,24.23,6.5,5.0,,
Martha,Wright,Hanover,93.79,72.0,22.0,6.5,,
Maple,Cass,Longville,76.36,0.0,45.0,7.9,,
Maple,Clay,Norwegian Grove,44.0,44.0,,2.0,,
Maple,Crow Wing,Bay Lake,71.0,71.0,23.0,7.2,,
Maple,Douglas,Forada,815.0,387.0,78.0,14.5,,
Maple,Itasca,Hill City,39.0,39.0,,4.6,,
Maple,Itasca,Marcell,228.0,76.5,39.0,11.0,,
Maple,Meeker,Stockholm,138.58,138.58,7.0,2.3,,
Maple,Polk,Mentor,1477.0,1477.0,14.0,,,
Maple,Todd,Little Sauk,367.0,150.0,23.0,,,
Maple,Wright,Maple Lake,777.0,396.0,76.0,8.8,,
Maple Leaf,St Louis,Alborn,99.55,48.7,51.0,5.9,,
Maple Unit,Wright,Maple Lake,8.0,8.0,7.0,4.0,,
Marabaeuf,Cook,Grand Marais,859.58,0.0,55.0,10.5,,
Marble,Itasca,Marcell,151.0,151.0,12.0,4.9,,
Marble,Lake,Silver Bay,159.74,155.3,20.0,6.2,,
Marcott,Dakota,Wescott,12.0,12.0,,4.6,,
Marcott,Dakota,Wescott,10.0,10.0,,5.6,,
Marcott,Dakota,Wescott,19.19,18.0,27.0,5.6,,
Marcott,Dakota,Wescott,17.0,17.0,33.0,7.5,,
Mareks,Le Sueur,Le Center,25.0,25.0,,,,
Margaret,Cass,Outing,18.33,10.0,49.0,7.6,,
Margaret,Cass,Nisswa,247.79,64.0,26.0,7.0,,
Margaret,Cook,Hovland,6.19,3.5,29.0,11.0,,
Marget,Isanti,East Lake Francis Shores,91.0,91.0,9.0,4.6,,
Margritte,Sherburne,,,,,,,
Maria,Carver,Belle Plaine,130.69,130.68,6.0,0.3,,
Maria,Clay,Muskoda,111.0,111.0,10.0,0.7,,
Maria,Murray,Garvin,288.0,288.0,10.0,2.6,,
Maria,Otter Tail,Maine,46.0,46.0,,1.0,,
Maria,Stearns,Clearwater,78.9,64.0,18.0,3.0,,
Maria,Stearns,New Munich,97.08,60.0,45.0,4.0,,
Maria,Wright,Silver Creek,24.0,24.0,,3.44,,
Marie,Itasca,Bigfork,50.78,40.0,48.0,3.9,,
Marie,Itasca,Rosy,55.0,55.0,,4.3,,
Marie,Stearns,Greenwald,16.0,16.0,15.0,6.0,,
Marie,Stearns,Fairhaven,145.81,107.2,36.0,5.0,,
Marietta Kids Fishing Pond,Lac qui Parle,Marietta,,,,,,
Marin,Clay,Hawley,108.0,,9.0,1.5,,
Marion,Cass,Outing,11.68,5.84,60.0,11.1,,
Marion,Dakota,Lakeville,560.0,454.0,21.0,10.5,,
Marion,Hennepin,Woodland,15.0,15.0,,12.1,,
Marion,McLeod,Brownton,594.0,594.0,12.0,,,
Marion,Otter Tail,Richville,1664.0,685.0,62.0,12.0,,
Marion,St Louis,Crane Lake,182.93,182.93,13.0,9.0,,
Mark,Cook,Grand Marais,126.07,140.0,5.0,4.0,,
Markee,Crow Wing,Lake Hubert,103.81,77.0,33.0,,,
Markham,St. Louis,Markham,264.0,238.0,29.0,2.5,,
Markgrafs,Washington,Woodbury,44.0,44.0,8.0,4.736,,
Marquette,Beltrami,Bemidji,504.0,285.0,51.0,,,
Marsh,Big Stone,Correll,4500.0,4500.0,5.0,0.6,6000100.0,
Marsh,Carver,Augusta,139.0,139.0,,8.5,,
Marsh,Cook,Covill,16.8,16.8,5.0,,,
Marsh,Cook,Tofte,66.46,66.46,13.0,5.2,,
Marsh,Hennepin,Bloomington,14.0,14.0,5.0,5.0,,
Marsh Pond,Sherburne,Santiago,,,,,,
Marshall,Becker,Audubon,190.5,105.0,21.0,5.3,,
Marshall,Cook,Maple Hill,56.26,50.0,16.0,8.5,,
Marshall,Lyon,Dudley,247.0,247.0,,1.3,,
Marshan,Anoka,Lino Lakes,202.0,202.0,3.5,2.0,,
Martha,Chisago,Chisago City,22.0,22.0,12.0,1.6,,
Martha,Ramsey,Shoreview,,,,,,
Martha,Wright,Hanover,93.79,72.0,22.0,6.5,,
Martin,Anoka,Wyoming,234.0,140.0,20.0,1.5,,
Martin,Martin,Northrop,277.0,277.0,3.0,1.0,,
Martin,St Louis,Paupores,67.8,24.0,77.0,5.6,,
Marty,Stearns,Marty,156.0,156.0,7.0,4.0,,
Marvin,Roseau,Longworth,165.0,165.0,9.0,0.7,,
Mary,Crow Wing,Emily,380.0,126.0,34.0,4.0,,
Mary,Douglas,Alexandria,2371.0,1020.0,40.0,5.5,21009200.0,
Mary,Hennepin,Shorewood,,,,,,
Mary,Hubbard,Lake Itasca,53.82,18.6,41.0,14.8,,
Mary,Itasca,Bengal,106.0,106.0,7.0,4.3,,
Mary,Itasca,Marcell,211.76,95.0,45.0,6.6,,
Mary,Kandiyohi,Norway Lake,99.0,99.0,12.0,1.6,,
Mary,Le Sueure,Lexington,48.0,48.0,9.0,3.0,,
Mary,McLeod,Brownton,86.0,86.0,5.0,1.6,,
Mary,Meeker,Manannah,98.0,98.0,6.0,3.0,,
Mary,Otter Tail,Rose City,191.0,191.0,,4.6,,
Mary,Pope,Starbuck,92.0,92.0,13.0,1.0,,
Mary,Todd,Upsala,129.1,39.0,58.0,8.5,,
Mary,Watonwan,Echols,127.0,127.0,,1.3,,
Mary,Wright,Buffalo,335.0,335.0,9.0,1.6,,
Mary,Wright,Maple Lake,38.0,38.0,,6.66,,
Mary,Wright,Maple Lake,209.0,82.0,102.0,5.5,,
Mary,Wright,Oster,189.97,85.0,46.0,6.3,,
Mary,Wright,Winsted,196.0,84.0,47.0,6.5,,
Mary Yellowhead,Becker,Richwood,39.0,39.0,9.0,7.5,,
Masford,Sherburne,Clear Lake,76.0,76.0,,5.61,,
Mashkenode,St Louis,Virginia,127.76,127.76,14.0,4.0,,
Mason,Otter Tail,Clitherall,292.0,292.0,,4.6,,
Mason,Otter Tail,Elizabeth,153.0,153.0,,1.6,,
Masterman,Washington,Duluth Junction,31.0,31.0,12.0,6.0,,
Matala,Wright,Silver Creek,,,,,,
Mattlia,Carlton,Wright,71.0,71.0,,5.6,,
Mattson,Chisago,Chisago City,60.0,60.0,9.0,4.3,,
Mattson,Douglas,Farwell,232.0,232.0,12.0,1.3,,
Maud,Becker,Audubon,547.0,300.0,32.0,10.0,,
Maude,St Louis,Buyck,94.96,66.0,26.0,2.5,,
Mauritz,Stearns,Farming,8.0,8.0,7.0,2.0,,
Mavis,Cook,Grand Marais,9.26,3.4,55.0,18.8,,
Maxim,Wright,Albion Center,45.82,42.0,18.0,4.0,,
Maxine,St Louis,Ely,38.82,38.82,21.0,18.0,,
May,Cass,Walker,143.35,74.0,59.0,14.5,,
